corp_code,stock_name,stock_code,corp_name
1579570,,418250,시큐레터
132637,,14820,동원시스템즈
347734,,51630,진양화학
1199550,,322000,HD현대에너지솔루션
543107,,80580,오킨스전자
371485,,89010,켐트로닉스
1462739,,413640,비아이매트릭스
164502,,170030,현대공업
1010110,,192080,더블유게임즈
1189438,,278650,HLB바이오스텝
1190513,,267060,명진홀딩스
1721809,,453340,현대그린푸드
106669,,1430,세아베스틸지주
140061,,22220,TKG애강
156910,,19550,SBI인베스트먼트
155124,,10770,평화홀딩스
172945,,23790,동일철강
160843,,990,DB하이텍
156895,,27360,아주IB투자
367604,,63440,SM Life Design
209443,,33660,우리금융캐피탈
155531,,5810,풍산홀딩스
657002,,200710,에이디테크놀로지
380429,,58820,CMG제약
1315042,,340810,씨유박스
1430475,,357120,코람코라이프인프라리츠
138695,,13340,뉴아세아
1323032,,381970,케이카
173078,,9900,명신산업
365387,,95570,AJ네트웍스
526678,,99410,동방선기
459871,,72710,농심홀딩스
601988,,402030,코난테크놀로지
573579,,90080,평화산업
634728,,92130,이크레더블
861076,,145270,케이탑리츠
910840,,192390,윈하이텍
152589,,27050,코리아나
562245,,124560,태웅로직스
184667,,23410,유진기업
442561,,73540,에프알텍
109781,,17650,대림제지
1181515,,290650,엘앤씨바이오
1223219,,312610,에이에프더블류
1258428,,334970,프레스티지바이오로직스
1396676,,333430,일승
361266,,56000,코원플레이
1621280,,424140,케이비제21호스팩
1055317,,215050,비엔디생활건강
1051472,,229000,젠큐릭스
173591,,24830,세원물산
190321,,30200,케이티
1344202,,338220,뷰노
252135,,36930,주성엔지니어링
776820,,111770,영원무역
991225,,302920,더콘텐츠온
599285,,140070,서플러스글로벌
138367,,23770,플레이위드
867478,,154030,아시아종묘
550994,,99190,아이센스
666329,,176590,코나솔
1566248,,383310,에코프로에이치엔
1692321,,446190,미래에셋비전스팩2호
107613,,7660,이수페타시스
113225,,84010,대한제강
118451,,2690,동일제강
117708,,12700,리드코프
261656,,49550,잉크테크
961507,,258610,케일럼
139454,,18250,애경산업
1546101,,451220,아이엠티
1786514,,468510,삼성스팩9호
407771,,73190,듀오백
1475609,,377190,디앤디플랫폼리츠
140779,,14440,영보화학
1534522,,380320,삼성머스트기업인수목적5호
1091382,,222810,세토피아
105138,,33540,파라텍
1187175,,285770,라이프사이언스테크놀로지
1622331,,424760,벨로크
1344831,,315640,딥노이드
922304,,136410,아셈스
226352,,32500,케이엠더블유
925587,,348350,위드텍
1394669,,332290,누보
545114,,84650,랩지노믹스
872656,,282720,금양그린파워
134565,,15020,이스타코
125822,,9620,삼보산업
143226,,33310,엠투엔
138792,,20560,아시아나항공
141477,,12160,영흥
219361,,34810,해성산업
228712,,88910,동우팜투테이블
244561,,35080,그래디언트
140858,,7530,와이엠
1781847,,465320,교보15호스팩
1226234,,338840,와이바이오로직스
667373,,460930,현대힘스
1186671,,281310,바이오시네틱스
136624,,5800,신영와코루
1259232,,285490,노바텍
124540,,47040,대우건설
193328,,126720,수산인더스트리
248974,,293480,하나제약
300557,,71460,위니아
308896,,68940,셀피글로벌
671376,,91810,티웨이항공
364254,,85810,알티캐스트
413417,,73560,우리손에프앤지
344287,,42670,HD현대인프라코어
296078,,54620,APS
624378,,424980,마이크로투나노
148610,,3530,한화투자증권
222213,,39870,피케이엘
250614,,54540,삼영엠텍
330424,,78020,LS증권
1816268,,478390,KB제29호스팩
495554,,90740,와이앤넥스트
939942,,189690,포시에스
230911,,36640,HRS
498001,,101330,모베이스
397243,,66350,티엔아이
454937,,90410,덕신이피씨
164609,,10620,HD현대미포
842585,,153460,네이블
978075,,179720,머니무브
1150515,,389260,대명에너지
945208,,161570,더미동
109514,,4870,티웨이홀딩스
127954,,51500,CJ프레시웨이
1442966,,357430,마스턴프리미어리츠
1148909,,284420,휴럼
369569,,50090,비케이홀딩스
117230,,2900,TYM
874803,,211270,AP위성
1702424,,448830,미래에셋비전스팩3호
366438,,62040,산일전기
393469,,65560,녹원씨엔아이
442835,,90370,메타랩스
349732,,52400,코나아이
560122,,91440,한울소재과학
341916,,48260,오스템임플란트
241236,,37340,에이치씨코퍼레이션
390860,,65150,대산F&B
447487,,80220,제주반도체
350048,,52420,오성첨단소재
337296,,122830,원포유
1084364,,208860,엔지스테크널러지
1185867,,341170,퓨쳐메디신
1230255,,276730,제주맥주
305941,,145170,노브랜드
677334,,102950,아하
1818682,,479880,한국제15호스팩
409140,,88290,이원컴포텍
450995,,317850,대모
1784394,,465770,STX그린로지스
202060,,53270,구영테크
161116,,14790,HL D&I
217947,,34300,신세계건설
1251489,,300120,라온피플
156859,,30210,다올투자증권
838962,,131370,알서포트
980043,,148780,비큐AI
137915,,7820,에스엠코어
370200,,66430,와이오엠
1011368,,295310,에이치브이엠
103121,,17160,세븐코스프
103325,,2540,고제
1026157,,403550,쏘카
130763,,46890,서울반도체
114765,,1620,케이비아이동국실업
1190568,,278470,에이피알
625942,,114810,한솔아이원스
1405585,,335870,윙스풋
105244,,2250,알보젠코리아
106508,,6070,기린
107923,,1950,남한제지
110051,,36490,에스케이머티리얼즈
111227,,6580,대양제지공업
148896,,10060,OCI홀딩스
264103,,44770,에이엠에스
264839,,39060,아이비진
132992,,15750,성우하이텍
177870,,96350,대창솔루션
141273,,10600,웰바이오텍
145190,,3460,유화증권
153339,,15890,태경산업
186559,,31820,콤텍시스템
365457,,89790,제이티
660121,,196490,디에이테크놀로지
1137383,,293490,카카오게임즈
1284751,,429270,시지트로닉스
1785700,,467930,IBKS제23호스팩
1672114,,436610,한국제11호기업인수목적
909835,,351870,차이커뮤니케이션
1326279,,307180,아이엘사이언스
117027,,1780,알루코
146427,,58450,한주에이알티
1357765,,348080,큐라티스
1409022,,187660,현대ADM
1706794,,464500,아이언디바이스
159874,,9760,한국지주
134176,,13000,세우글로벌
408956,,72520,제넨바이오
111829,,16890,대웅바이오
112004,,3190,알바이오
115427,,4660,신동방CP
116499,,6600,동신제약
1182444,,268600,셀리버리
238977,,134780,에스엠화진
1212383,,262760,엔케이맥스
683007,,70300,엑스큐어
163716,,5110,한창
1014055,,234300,에스트래픽
1817081,,475150,SK이터닉스
1436479,,393210,토마토시스템
544577,,89970,브이엠
1807729,,475250,하나33호스팩
645089,,104200,NHN벅스
118460,,19300,태림페이퍼
120508,,2270,롯데푸드
121251,,28090,네오퍼플
127024,,8720,삼양엔텍
503899,,79660,사조해표
126380,,5930,삼성전자
110875,,20180,대신정보통신
1336762,,347700,라이프시맨틱스
1494118,,376930,노을
132105,,3940,삼양제넥스
132114,,14300,선진지주
1018167,,260490,캐로스
138376,,41550,쎄라텍
139418,,21570,알루코
1765265,,460860,동국제강
149248,,9380,아세아페이퍼텍
149840,,5600,중앙제지
151252,,4530,에스와이
158909,,4940,하나은행
1406265,,432430,와이랩
156150,,19490,하이트론씨스템즈
1251577,,290270,휴네시온
1815764,,478110,이베스트스팩6호
163682,,8560,메리츠증권
154392,,16570,에스트라
409681,,67390,아스트
1259056,,299910,애닉
1619513,,422040,엔에이치스팩23호
1671197,,435870,SK증권제8호스팩
1845701,,482520,교보16호스팩
480756,,96040,이트론
102353,,24910,경창산업
120182,,5940,NH투자증권
108490,,48830,엔피케이
144720,,11690,와이투솔루션
238001,,33560,블루콤
150828,,2780,진흥기업
164779,,660,SK하이닉스
260930,,41510,에스엠
171636,,4150,한솔홀딩스
306454,,53300,한국정보인증
181712,,34730,SK
632304,,96760,JW홀딩스
531829,,179290,엠아이텍
1412725,,336260,두산퓨얼셀
198378,,31390,녹십자셀
638539,,126870,뉴로스
238199,,67730,로지시스
1152586,,388720,유일로보틱스
259934,,36000,예림당
157681,,4000,롯데정밀화학
1050738,,304100,솔트룩스
1190124,,279600,미디어젠
159412,,2300,한국제지
163044,,3040,한일약품공업
164292,,3900,동원데어리푸드
164362,,8800,행남사
208301,,53440,성우몰드
220446,,54250,예일바이오텍
653112,,233190,미래자원엠엘
414850,,94280,효성 ITX
874195,,204990,코썬바이오
1360875,,360070,탑머티리얼
1658266,,430230,하나금융24호기업인수목적
1516766,,469750,아이비젼웍스
122205,,18700,바른손
264671,,39310,세중
265324,,35760,CJ ENM
945457,,185490,아이진
1276594,,293940,신한알파리츠
115931,,39840,디오
128111,,9520,포스코엠텍
185505,,52670,제일바이오
604268,,262260,에이프로
1169498,,248020,젬
234449,,54790,제이엠피
126308,,28050,삼성E&A
367482,,69540,빛과전자
587925,,142760,모아라이프플러스
536286,,97800,윈팩
351375,,60260,뉴보텍
661157,,150840,인트로메딕
163114,,7860,서연
247939,,37600,씨모스
923516,,446540,메가터치
1119387,,241510,이에스산업
351579,,49470,SGA
378363,,60310,3S
475976,,83640,인콘
799177,,122350,삼기
977641,,149980,하이로닉
988364,,184230,SGA솔루션즈
825223,,126640,화신정공
148984,,480,시알홀딩스
606293,,130580,나이스디앤비
1516890,,418620,이에이트
317487,,43220,티에스넥스젠
781202,,900100,애머릿지
1798980,,473050,유안타제15호스팩
652423,,101140,인바이오젠
1157235,,246720,아스타
248053,,37640,지에스엔텍
252658,,46810,코리언일랙트로닉스파워소스
127167,,2810,삼영무역
410739,,57880,푸른소나무
929228,,224760,엔에스컴퍼니
1138993,,278380,원바이오젠
231691,,32800,판타지오
550082,,210120,빅텐츠
863038,,313760,캐리
983040,,180640,한진칼
1510489,,950210,프레스티지바이오파마
1524093,,375500,DL이앤씨
407294,,88340,유라클
1596425,,402340,SK스퀘어
1203507,,299670,에스엠비나
1232192,,464280,티디에스팜
136776,,25620,제이준코스메틱
209780,,29460,케이씨
1307335,,366030,공구우먼
352064,,53160,프리엠스
1373709,,456010,아이씨티케이
1810796,,476470,KB제28호스팩
1063237,,222670,플럼라인생명과학
297448,,41590,플래스크
136226,,65350,신성델타테크
245472,,64760,티씨케이
403793,,301300,바이브컴퍼니
1110474,,298060,에스씨엠생명과학
1113718,,226950,올릭스
148470,,199820,제일일렉트릭
1194689,,443060,HD현대마린솔루션
276083,,33790,피노
525864,,237750,피앤씨테크
603348,,93320,케이아이엔엑스
1207761,,227100,퀀텀온
139205,,1540,안국약품
362122,,137080,나래나노텍
369107,,82850,우리바이오
643656,,101730,위메이드맥스
818472,,160600,이큐셀
1605282,,464580,닷밀
876908,,118990,모트렉스
1575839,,405000,플라즈맵
258102,,65060,지엔코
111689,,9320,아진전자부품
125965,,111870,KH 미래물산
797364,,119650,KC코트렐
130408,,79650,서산
1142400,,164060,이루다
364795,,60300,레드로버
200275,,40300,YTN
1109539,,232140,와이씨
129235,,4450,삼화왕관
112059,,1290,상상인증권
331016,,64850,에프앤가이드
428729,,69460,대호에이엘
1641600,,475580,에이럭스
471068,,77360,덕산하이메탈
1061558,,213420,덕산네오룩스
1064069,,215480,토박스코리아
1504211,,462510,라메디텍
1514698,,373200,엑스플러스
168331,,5320,온타이드
1492651,,372320,큐로셀
134510,,33530,SJG세종
585608,,119860,커넥트웨이브
255105,,38530,케이바이오
1572489,,386580,한화플러스제2호기업인수목적
766106,,105550,엣지파운드리
162461,,9830,한화솔루션
1204056,,352820,하이브
160588,,880,한화
1559637,,439580,블루엠텍
113562,,400,롯데손해보험
226316,,111110,호전실업
577380,,138070,신진에스엠
1814233,,477380,미래에셋비전스팩4호
307028,,53950,경남제약
1353024,,317240,TS트릴리온
1594764,,405640,신한제9호기업인수목적
1344363,,323350,다원넥스뷰
1072518,,163430,디피코
1217014,,290090,트윔
155586,,24850,HLB이노베이션
968607,,475560,더본코리아
971090,,263540,어스앤에어로스페이스
1703849,,473980,노머스
119672,,16740,두올
330044,,50110,캠시스
1583652,,434480,모니터랩
1675421,,439730,IBKS제20호스팩
1512575,,384470,코어라인소프트
190756,,67900,와이엔텍
1130885,,266470,바이오인프라생명과학
1376715,,347850,디앤디파마텍
1016309,,457370,한켐
1074862,,215200,메가스터디교육
1326792,,307870,비투엔
560982,,86820,바이오솔루션
124504,,47050,포스코인터내셔널
821607,,123750,알톤
128032,,520,삼일제약
888347,,145020,휴젤
145163,,5690,파미셀
1444380,,355690,에이텀
441243,,93240,형지엘리트
1316254,,298050,HS효성첨단소재
1281541,,446440,에피바이오텍
1814589,,477760,디비금융스팩12호
116426,,9730,이렘
362292,,60590,씨티씨바이오
842619,,141080,리가켐바이오
112457,,3310,대주산업
104388,,7690,국도화학
264255,,43150,바텍
165413,,11170,롯데케미칼
269922,,41830,인바디
225706,,234080,JW생명과학
318662,,56730,CNT85
557508,,114090,GKL
624509,,187870,디바이스이엔지
1160363,,247540,에코프로비엠
1336735,,327610,펨토바이오메드
372226,,131290,티에스이
1540453,,445090,에이직랜드
257149,,36180,지더블유바이텍
373021,,73640,테라사이언스
990819,,200350,아티스트스튜디오
1866528,,489210,교보17호스팩
136004,,25870,신라에스지
992543,,225190,LK삼양
583442,,90350,노루페인트
490090,,99750,이지케어텍
1036367,,203690,아크솔루션스
1854408,,487830,신한제15호스팩
1620713,,421800,교보12호기업인수목적
164478,,720,현대건설
1207901,,466410,사이냅소프트
1109690,,227420,도부
1847550,,484130,하나34호스팩
121039,,17180,명문제약
161426,,8930,한미사이언스
159193,,15760,한국전력공사
105271,,2380,케이씨씨
1259311,,290720,푸드나무
1014657,,138580,비즈니스온커뮤니케이션
1031229,,219750,한국비티비
144243,,18000,유니슨
124090,,7280,한국특강
123523,,4650,창해에탄올
124197,,3030,세아제강지주
264945,,36800,나이스정보통신
140131,,20120,키다리스튜디오
276834,,52900,KX하이텍
146232,,13360,일성건설
642541,,127120,디엔에이링크
1140837,,377330,이지트로닉스
650771,,160190,하이젠알앤엠
463342,,41910,폴라리스AI파마
169048,,3580,HLB글로벌
1384787,,462870,시프트업
242934,,83550,케이엠
317210,,43260,성호전자
129411,,360,삼환기업
112907,,26870,코원에너지서비스
111704,,42660,한화오션
532855,,80720,한국유니온제약
260408,,36580,팜스코
1037542,,222160,NPX
1182408,,258790,소프트캠프
1381391,,443670,에스피소프트
1636565,,474170,루미르
415594,,100130,동국S&C
362238,,79980,휴비스
441447,,89150,케이씨티
362441,,307950,현대오토에버
489243,,88130,동아엘텍
422895,,67830,세이브존I&C
495086,,87600,픽셀플러스
1390344,,329180,HD현대중공업
611736,,92870,엑시콘
1003040,,192250,케이사인
1091054,,222420,쎄노텍
1130849,,290560,신시웨이
1807738,,475240,하나32호스팩
102432,,13580,계룡건설산업
110884,,32790,엠젠솔루션
1480780,,400760,NH올원리츠
200910,,31310,아이즈비전
230036,,30350,드래곤플라이
243979,,84180,수성웹툰
360036,,46310,백금T&A
567897,,389500,에스비비테크
610490,,148140,비디아이
125150,,5090,SGC에너지
268002,,36630,세종텔레콤
154329,,7980,TP
103626,,10420,한솔피엔에스
761183,,416180,신성에스티
292434,,48530,인트론바이오
415327,,72020,중앙백신
415868,,87010,펩트론
453929,,78160,메디포스트
215976,,38340,MIT
765462,,297090,씨에스베어링
670340,,112610,씨에스윈드
239639,,38500,삼표시멘트
1419205,,460940,피앤에스미캐닉스
372873,,58860,KTis
532059,,114450,그린생명과학
580199,,86900,메디톡스
808086,,196300,애니젠
877059,,207940,삼성바이오로직스
926522,,191420,테고사이언스
977650,,182400,엔케이맥스
1109937,,246710,티앤알바이오팹
1110678,,263050,유틸렉스
1114586,,331920,셀레믹스
1245062,,950160,코오롱티슈진
1319899,,302440,SK바이오사이언스
102618,,12200,계양전기
153278,,19770,서연탑메탈
297095,,51490,나라엠앤디
384887,,71670,에이테크솔루션
346911,,52770,아이톡시
145446,,8250,이건산업
141246,,16250,SGC E&C
203290,,24720,콜마홀딩스
391197,,65650,하이퍼코퍼레이션
753643,,109070,주성코퍼레이션
441128,,58220,아리온테크놀로지
1672053,,436530,케이비제22호기업인수목적
1695498,,419700,이브이파킹서비스
918222,,156100,엘앤케이바이오
113207,,1440,대한전선
453488,,145210,다이나믹디자인
657783,,417970,모델솔루션
1311310,,382480,지아이텍
112378,,40,KR모터스
131197,,21050,서원
825959,,126700,하이비젼시스템
144650,,54930,유신
469799,,74610,이엔플러스
299464,,47820,초록뱀미디어
602136,,104460,디와이피엔에프
814786,,131100,티엔엔터테인먼트
1010642,,144510,지씨셀
488989,,78350,한양디지텍
659161,,160980,싸이맥스
172185,,4270,남성
1159233,,248070,솔루엠
1116265,,140430,카티스
161383,,42700,한미반도체
659684,,174880,장원테크
372129,,79900,전진건설로봇
172680,,5160,동국산업
870481,,128540,에코캡
876865,,212560,네오오토
1047169,,208350,지란지교시큐리티
1078178,,218410,RFHIC
1095722,,222800,심텍
1124680,,250000,보라티알
1186404,,263720,디앤씨미디어
1199727,,252990,샘씨엔에스
1288410,,318160,셀바이오휴먼텍
1288827,,403870,HPSP
1511558,,950220,네오이뮨텍
1514005,,355390,크라우드웍스
1538528,,453860,에이에스텍
1770203,,462520,조선내화
927558,,206650,유바이오로직스
175623,,50120,ES큐브
1138595,,199480,뱅크웨어글로벌
113410,,120,CJ대한통운
158219,,33170,시그네틱스
216762,,45100,한양이엔지
131850,,1510,SK증권
385363,,65450,빅텍
155258,,58430,포스코스틸리온
155276,,3670,포스코퓨처엠
536523,,90360,로보스타
660750,,166090,하나머티리얼즈
366137,,151860,KG에코솔루션
606770,,94850,참좋은여행
1257872,,288620,에스퓨얼셀
125080,,6840,AK홀딩스
1857991,,489730,디비금융제13호스팩
1034730,,215570,크로넥스
164618,,16790,현대사료
1761296,,458610,한국제12호스팩
1416235,,950190,고스트스튜디오
115977,,10780,아이에스동서
232007,,42940,상지건설
791209,,118000,메타케어
1299106,,403490,우듬지팜
402110,,131090,시큐브
153621,,9310,참엔지니어링
503668,,79550,LIG넥스원
1316245,,298040,효성중공업
783246,,900070,글로벌에스엠
1515323,,373220,LG에너지솔루션
1682740,,442770,IBKS제21호스팩
1701328,,448760,IBKS제22호스팩
453442,,59270,해성에어로보틱스
1370863,,402490,그린리소스
1508855,,369370,블리츠웨이스튜디오
1574760,,393360,신한제8호기업인수목적
528791,,412540,제일엠앤에스
111810,,3090,대웅
108001,,91590,남화토건
243988,,33630,에스케이브로드밴드
318316,,45390,대아티아이
358271,,56190,에스에프에이
244455,,33780,케이티앤지
227333,,33640,네패스
258801,,35720,카카오
229021,,33230,인성정보
261443,,36570,엔씨소프트
267906,,19010,베뉴지
349097,,53210,케이티스카이라이프
297989,,46120,오르비텍
357360,,69640,한세엠케이
338170,,452400,이닉스
363769,,63570,한국전자금융
